,Price,Area,Ward,District
642,1700000,14,,
643,1500000,15,,
644,2200000,15,,
645,1400000,20,,
646,2200000,25,,
647,2000000,25,,
648,3500000,30,,
649,1000000,16,,
650,2200000,30,,
651,4300000,32,,
652,3200000,20,,
653,2000000,15,,
654,2000000,20,,
655,1500000,20,,
656,3500000,30,,
657,2300000,35,,
658,1300000,18,,
659,1200000,20,,
660,2500000,15,,
661,3000000,60,,
662,1800000,20,,
663,1800000,15,,
664,2000000,20,,
665,1600000,18,,
666,2000000,20,,
667,2500000,40,,
668,4000000,20,,
669,5000000,34,,
670,1500000,15,,
671,1600000,18,,
672,6000000,40,,
673,2000000,20,,
674,2500000,20,,
675,1700000,16,,
676,1300000,40,,
677,1300000,45,,
678,2000000,24,,
679,2200000,20,,
680,2300000,23,,
681,3300000,20,,
682,1500000,13,,
683,1700000,22,,
684,2500000,20,,
685,3000000,25,,
686,2000000,16,,
687,2000000,20,,
688,2500000,18,,
689,7500000,30,,
690,2300000,15,,
691,3500000,30,,
692,1400000,20,,
693,3200000,30,,
694,2200000,20,,
695,2000000,20,,
696,1500000,20,,
697,3500000,25,,
698,2200000,25,,
699,2500000,24,,
700,2,20,,
701,1600000,16,,
702,1200000,20,,
703,1200000,20,,
704,2500000,20,,
705,2400000,25,,
706,4200000,37,,
707,1500000,15,,
708,1700000,125,,
709,7000000,40,,
710,2200000,20,,
711,3500000,25,,
712,1400000,17,,
713,3000000,30,,
714,2000000,25,,
715,1800000,18,,
716,2800000,18,,
717,2500000,15,,
718,2000000,20,,
719,2500000,20,,
720,3000000,16,,
721,4000000,25,,
722,1000000,100,,
723,2500000,15,,
724,2600000,26,,
725,3900000,25,,
726,3950000,40,,
727,1500000,30,,
728,3000000,20,,
729,2500000,22,,
730,2500000,25,,
731,1800000,22,,
732,3400000,50,,
733,2500000,20,,
734,2000000,25,,
735,2400000000,20,,
736,4200000,70,,
737,2500000,32,,
738,2000000,40,,
739,600000,16,,
740,2700000,17,,
741,4500000,20,,
742,2300000,15,,
743,2700000,25,,
744,2000000,15,,
745,2200000,20,,
746,3000000,25,,
747,2000000,20,,
748,600000,18,,
749,2500000,20,,
750,2500000,25,,
751,2400000,20,,
752,1700000,16,,
753,4000000,20,,
754,2200000,20,,
755,1000000,20,,
756,1500000,25,,
757,2500000,30,,
758,2000000,25,,
759,3500000,32,,
760,2300000,15,,
761,2000000,20,,
762,1800000,20,,
763,3500000,20,,
764,1000000,20,,
765,2000000,18,,
766,2000000,25,,
767,1600000,30,,
768,1000000,20,,
769,5000000,25,,
770,1000000,17,,
771,1500000,25,,
772,2000000,15,,
773,2000000,21,,
774,3500000,16,,
775,3500000,25,,
776,3000000,35,,
777,1500000,16,,
778,1400000,16,,
779,4500000,20,,
780,800000,10,,
781,1800000,20,,
782,4500000,20,,
783,2500000,35,,
784,397000,10,,
785,2000000,20,,
786,1700000,42,,
787,1400000,20,,
788,4000000,30,,
789,2800000,15,,
790,1700000,18,,
791,4000000,60,,
792,2000000,16,,
793,1400000,15,,
794,1000000,600,,
795,2500000,25,,
796,2000000,25,,
797,1500000,21,,
798,800000,10,,
799,1600000,16,,
800,,50,,
801,1600000,16,,
802,700000,12,,
803,1200000,15,,
804,1900000,25,,
805,,16,,
806,2000000,25,,
807,3000000,22,,
808,,30,,
809,3500000,20,,
810,900000,15,,
811,700000,30,,
812,1500,30,,
813,600000,12,,
814,1000000,10,,
815,,30,,
816,2950000,18,,
817,800000,30,,
818,500000,20,,
819,5000000,20,,
820,3000000,30,,
821,900000,0,,
822,,20,,
823,1100000,22,,
824,650000,20,,
825,,9,,
826,2200000,20,,
827,,12,,
828,1000000,23,,
829,1000000,20,,
830,800000,20,,
831,700000,15,,
832,3000000,25,,
833,600000,15,,
834,,40,,
835,2000000,30,,
836,1000000,30,,
837,600000,25,,
838,2500000,25,,
839,1300000,15,,
840,1500000,21,,
841,1000000,20,,
842,2000000,30,,
843,1100000,25,,
844,2000000,15,,
845,2500000,25,,
846,1000000,15,,
847,800000,16,,
848,1200000,24,,
849,1500000,20,,
850,1000000,22,,
851,,20,,
852,,30,,
853,800000,15,,
854,1600,48,,
855,1200000,20,,
856,,30,,
857,1300000,20,,
858,1000000,27,,
859,900000,15,,
860,2500000,30,,
861,1000000,25,,
862,,12,,
863,1300000,25,,
864,600000,28,,
865,,16,,
866,1000000,18,,
867,1200000,20,,
868,1500000,20,,
869,4000000,100,,
870,1300000,15,,
871,3500000,34,,
872,3000000,50,,
873,1100000,21,,
874,,26,,
875,,18,,
876,,30,,
877,2300000,40,,
878,1000000,18,,
879,500000,12,,
880,1000000,30,,
881,1500000,20,,
882,1200000,30,,
883,2000000,18,,
884,,20,,
885,800000,12,,
886,700000,12,,
887,2000000,91,,
888,1200000,12,,
889,2500000,30,,
890,1000000,15,,
891,2000000,25,,
892,1500000,24,,
893,2000000,18,,
894,1000000,15,,
895,1000000,15,,
896,1000000,28,,
897,1200000,15,,
898,1200000,15,,
899,1000000,14,,
900,1000000,12,,
901,1600000,18,,
902,2500000,60,,
903,1200000,20,,
904,1200000,15,,
905,600000,15,,
906,1600000,16,,
907,900000,15,,
